年龄,兄弟姐妹/配偶的个数,父母/小孩个数,票价,1等舱,2等舱,3等舱,登船港口为空,登船为S港,登船为Q港,登船为nan港,女性,男性,index,是否生还
22.0,1,0,7.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
38.0,1,0,71.2833,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
26.0,0,0,7.925,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1
35.0,1,0,53.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1
35.0,0,0,8.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0
0.0,0,0,8.4583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5,0
54.0,0,0,51.8625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0
2.0,3,1,21.075,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7,0
27.0,0,2,11.1333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8,1
14.0,1,0,30.0708,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,1
4.0,1,1,16.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10,1
58.0,0,0,26.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,1
20.0,0,0,8.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0
39.0,1,5,31.275,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13,0
14.0,0,0,7.8542,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14,0
55.0,0,0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15,1
2.0,4,1,29.125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,0
0.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,1
31.0,1,0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,18,0
0.0,0,0,7.225,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19,1
35.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20,0
34.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,1
15.0,0,0,8.0292,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22,1
28.0,0,0,35.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,1
8.0,3,1,21.075,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,24,0
